100		9,40376180024001	0,221285123527911	20,7418753912934	0,221290176512459	7,43163672512708	0,222642556542618	-4,34945338727939	3,60698172806134	-6,21995762647589	3,60695602478773	-16,5365665975548	3,60611016104772	-1,5962302262605	4,65793703528556	4,44222503873523	4,65798299958261	14,959030774598		4,65529322813521	15,3621370437443	9,31060231694709	6,2239032139723		8,061874179389
200		9,10880161539141	0,0935328416795103	20,2710522987494	0,0933210711900261	7,45671623562118	0,093683428353744	1,49196927815134	0,622189937989334	-4,0781987595449	0,622190762597321	-12,3649970333195	0,62204055889247	-3,12122920972479	0,803480266146032	-2,10478207879683	0,803479708551509	14,4859361050989	0,803024444966547	-5,48663065574793	1,60604643096978	3,42417449680539	1,39064681272213
300		8,72128745933944	0,0824424663146271	19,9307601584096	0,0823582876534303	6,99364982974647	0,0825580722672336	2,23537463531577	0,332852133277171	-1,70901418940626	0,33285211324768	-13,3445577845728	0,332771703234515	-1,54786243973953	0,429836339423397	-1,16624483141197	0,429836348347079	15,5090467832716	0,42959240935669	-5,17264629638927	0,859184345506691	2,74297550926826	0,743952582870506
400		9,0310429492436		0,0932962420850231	19,8162647381151	0,0932776812173383	6,92024981256413	0,0934440778004155	1,59224644664924	0,269323107936162	-0,927021965093407	0,269323112943175	-12,5905044830057	0,269257991055269	-1,13299712795933	0,347796648197988	0,152621188174475	0,347796703861773	15,6461587975505	0,347599072881227	-6,34089142158742	0,695198097764422	3,0380238113148		0,601959768683021
500		9,19000660126364	0,111767489606538	19,6546824116277	0,111745751534577	6,96093841459485	0,11192548390842	1,30535739367316	0,250649884033666	-0,726214751177655	0,250649865271273	-13,0156402206188	0,250589265771276	-1,00963733081914	0,323682529886911	0,404451586567446	0,323682570647641	15,7139138463832	0,323498669123982	-7,35040315129097	0,646997254457869	3,83950835261933	0,560223538964977
600		9,60606549453803	0,142162519279494	20,2022924870364	0,142165641374061	7,16614563269071	0,142311122518036	1,15198702816252	0,260486953366524	-0,702539801078048	0,260486930819331	-12,7694039336087	0,26042400132559	-0,596302371175192	0,336385854969871	0,386692471453529	0,336385869069597	15,7862826254403	0,336194829357218	-6,73581514895331	0,67238958962504	3,50197290809261	0,582210344340691
700		9,69731135567248	0,188703209493589	21,7916258699551	0,188741841249173	7,39814674519622	0,188861188878696	1,15535831667563	0,292086824146759	-1,01940192338723	0,292086842032414	-13,0765815713508	0,292016260087324	-0,955145480265036	0,377193151740778	0,323211853641969	0,377193142332119	14,819979106989		0,376978928958017	-5,35812086619664	0,753957745150808	3,76173898361414	0,652838713426261
800		11,1039308189301	0,239432310720059	24,3681507612738	0,239448720471653	7,77950747735431	0,239495443982875	1,27882529619603	0,320766065931149	-0,374383920073856	0,320766074076839	-13,2136548595492	0,320688562435733	-0,173962086419616	0,414228750956268	-0,0273565771303105	0,414228755389557	14,5946917829035	0,413993499958137	-5,90190439835078	0,827986868727652	2,83465788122438	0,716939223491834
900		12,1612761935869	0,288917575006048	26,5324895159575	0,288949053501117	7,72849902423699	0,288982179258382	0,657344109751758	0,341253106913908	-0,068988758369308	0,341253111003404	-13,2215192968752	0,341170628508551	0,154739732565056	0,440685151694607	0,337205541198646	0,440685135249852	13,2031054303984	0,440434850967187	-4,14569927832691	0,880869584548072	3,83796118691467	0,762729443976447
1000	11,8287758157709	0,360808370955589	29,5688700613001	0,360863099858051	8,12980502111052	0,360721892288576	0,602532955142822	0,380865024303384	-0,342605100338107	0,380865049164094	-13,3575927753158	0,380773014429467	0,255066934354949	0,491838938739027	0,228652449144489	0,491838934378539	12,6613060902388	0,491559627186621	-4,85730398227895	0,98311911049286	3,74657225559722	0,851265473265535
